City_ID,city,max_temp,weather,lat,lon,Hotel Name
0,caravelas,76.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
3,georgetown,79.9,few clouds,5.4112,100.3354,Cititel Penang
8,atuona,77.7,light rain,-9.8,-139.0333,Villa Enata
11,beloha,71.19,clear sky,-25.1667,45.05,
13,naze,78.08,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
16,labuhan,78.44,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
21,arraial do cabo,71.47,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
23,luanda,71.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
25,laguna,93.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
27,avarua,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
28,puerto ayora,70.77,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,hithadhoo,82.96,broken clouds,-0.6,73.0833,Scoop Guest House
31,hilo,83.93,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,formosa do rio preto,85.35,few clouds,-11.0483,-45.1931,Porto Center Hotel
37,saint-philippe,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
39,inhambane,72.09,light rain,-23.865,35.3833,Oceano
40,kapaa,78.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,lompoc,93.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,goundam,94.55,overcast clouds,16.4145,-3.6708,
47,kapaa,78.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,kanker,72.99,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
53,hilo,83.93,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,the valley,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
57,atuona,77.7,light rain,-9.8,-139.0333,Villa Enata
58,alta floresta,76.37,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
61,melito di porto salvo,72.32,few clouds,37.9222,15.7714,
64,victoria,84.33,broken clouds,22.2855,114.1577,
65,hilo,83.93,few clouds,19.7297,-155.09,
66,atuona,77.7,light rain,-9.8,-139.0333,
68,lompoc,93.34,clear sky,34.6391,-120.4579,
74,rikitea,73.63,broken clouds,-23.1203,-134.9692,
78,mayo,79.86,clear sky,38.8876,-76.5119,
79,atuona,77.7,light rain,-9.8,-139.0333,
82,bengkulu,74.17,moderate rain,-3.8004,102.2655,
85,rikitea,73.63,broken clouds,-23.1203,-134.9692,
86,tabou,77.83,broken clouds,4.423,-7.3528,
87,rikitea,73.63,broken clouds,-23.1203,-134.9692,
89,bethel,70.75,overcast clouds,41.3712,-73.414,
