City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Clouds,Wind Speed
0,Kalmunai,LK,2021-10-02 16:01:47,7.4167,81.8167,80.08,82,43,6.35
1,Raton,US,2021-10-02 16:01:47,36.9034,-104.4391,57.81,55,1,8.05
2,Andenes,NO,2021-10-02 16:01:48,69.3143,16.1194,55.08,76,90,9.22
3,Aripuana,BR,2021-10-02 16:01:48,-9.1667,-60.6333,98.22,35,20,3.33
4,Deputatskiy,RU,2021-10-02 16:01:48,69.3,139.9,12.79,90,80,5.91
5,Vila Franca Do Campo,PT,2021-10-02 16:01:49,37.7167,-25.4333,73.81,73,22,11.36
6,Fortuna,US,2021-10-02 16:01:49,40.5982,-124.1573,53.33,100,90,0.0
7,Hede,CN,2021-10-02 16:01:49,33.7681,120.2517,70.77,89,0,10.16
8,Forio,IT,2021-10-02 16:01:50,40.7342,13.8646,74.82,78,100,1.99
9,Omsukchan,RU,2021-10-02 16:01:50,62.5333,155.8,22.62,90,8,4.45
10,New Norfolk,AU,2021-10-02 16:01:50,-42.7826,147.0587,54.9,74,100,3.0
11,Walvis Bay,NA,2021-10-02 16:01:51,-22.9575,14.5053,61.09,67,3,26.69
12,Kieta,PG,2021-10-02 16:00:30,-6.2167,155.6333,78.13,83,100,2.68
13,Vaini,TO,2021-10-02 16:01:51,-21.2,-175.2,73.51,77,100,24.34
14,Albany,US,2021-10-02 15:58:58,42.6001,-73.9662,69.8,70,91,6.31
15,Yellowknife,CA,2021-10-02 16:01:51,62.456,-114.3525,46.56,95,100,5.99
16,Pevek,RU,2021-10-02 16:01:52,69.7008,170.3133,23.77,63,42,20.8
17,Dikson,RU,2021-10-02 16:01:52,73.5069,80.5464,33.67,86,100,14.32
18,Itarema,BR,2021-10-02 16:01:00,-2.9248,-39.9167,88.12,53,40,19.93
19,Goure,NE,2021-10-02 16:01:53,13.9835,10.2704,98.02,12,0,3.36
20,Ushuaia,AR,2021-10-02 16:00:10,-54.8,-68.3,42.04,69,100,4.56
21,Yumen,CN,2021-10-02 16:01:53,40.2833,97.2,49.78,32,47,16.17
22,Castro,BR,2021-10-02 16:01:54,-24.7911,-50.0119,71.8,69,100,2.3
