city_id,city,lon,lat,max_temp,humidity,cloudiness,wind_speed,weather
0,caravelas,-39.2481,-17.7125,76.21,80,6,13.42,clear sky
1,ayan,138.1667,56.45,40.15,55,61,16.87,broken clouds
2,qaqortoq,-46.0333,60.7167,41.5,78,0,8.39,clear sky
3,georgetown,100.3354,5.4112,79.9,90,20,0.0,few clouds
4,yellowknife,-114.3525,62.456,53.42,57,2,10.0,clear sky
5,yerkoy,34.4672,39.6381,52.83,63,5,2.82,clear sky
6,coquimbo,-71.3436,-29.9533,56.93,71,0,8.05,clear sky
7,lavrentiya,-171.0,65.5833,28.47,67,13,2.26,few clouds
8,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
9,barrow,-156.7887,71.2906,30.22,80,90,9.22,overcast clouds
10,ancud,-73.8203,-41.8697,47.73,81,77,7.31,broken clouds
11,beloha,45.05,-25.1667,71.19,74,6,4.83,clear sky
12,urumqi,87.6005,43.801,36.55,75,0,4.47,clear sky
13,naze,129.4833,28.3667,78.08,62,1,18.45,clear sky
14,katangli,143.2326,51.7102,44.47,70,86,15.05,overcast clouds
15,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
16,labuhan,112.2051,-6.8844,78.44,74,100,12.39,overcast clouds
17,yellowknife,-114.3525,62.456,53.42,57,2,10.0,clear sky
18,yerkoy,34.4672,39.6381,52.83,63,5,2.82,clear sky
19,coquimbo,-71.3436,-29.9533,56.93,71,0,8.05,clear sky
20,yerbogachen,108.0108,61.2767,31.6,88,99,4.18,overcast clouds
21,arraial do cabo,-42.0278,-22.9661,71.47,97,62,9.69,moderate rain
22,castro,-50.0119,-24.7911,62.2,99,100,4.38,light rain
23,luanda,13.2343,-8.8368,71.6,83,20,6.91,few clouds
24,khatanga,102.5,71.9667,20.28,92,99,13.31,overcast clouds
25,laguna,-121.4238,38.421,93.42,21,1,1.01,clear sky
26,ongandjera,15.0667,-17.8833,64.36,23,1,6.78,clear sky
27,avarua,-159.775,-21.2078,77.05,69,75,10.36,broken clouds
28,puerto ayora,-90.3518,-0.7393,70.77,81,30,10.63,scattered clouds
29,college,-147.8028,64.8569,36.59,94,75,3.44,light snow
30,hithadhoo,73.0833,-0.6,82.96,77,73,19.01,broken clouds
31,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
32,saskylakh,114.0833,71.9167,17.29,92,99,11.92,overcast clouds
33,vostok,135.8833,46.4856,42.8,97,100,4.07,overcast clouds
34,airai,125.4092,-8.9266,69.57,43,9,0.78,clear sky
35,formosa do rio preto,-45.1931,-11.0483,85.35,24,23,6.17,few clouds
36,port elizabeth,25.5701,-33.918,52.11,77,5,7.09,clear sky
37,saint-philippe,55.7679,-21.3585,71.19,83,49,13.2,light rain
38,zyryanka,150.85,65.75,26.24,80,81,9.46,broken clouds
39,inhambane,35.3833,-23.865,72.09,92,100,9.69,light rain
40,kapaa,-159.319,22.0752,78.19,79,90,4.0,light rain
41,inuvik,-133.7218,68.3499,34.56,100,90,10.36,light intensity drizzle
42,lompoc,-120.4579,34.6391,93.34,58,1,10.36,clear sky
43,hobart,147.3294,-42.8794,61.02,84,75,4.61,broken clouds
44,mar del plata,-57.5575,-38.0023,50.13,68,0,10.0,clear sky
45,goundam,-3.6708,16.4145,94.55,17,99,7.2,overcast clouds
46,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
47,kapaa,-159.319,22.0752,78.19,79,90,4.0,light rain
48,kanker,81.4931,20.2719,72.99,93,95,2.01,overcast clouds
49,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
50,mataura,168.8643,-46.1927,49.48,80,100,8.95,overcast clouds
51,klaksvik,-6.589,62.2266,49.12,87,96,29.91,overcast clouds
52,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light intensity drizzle
53,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
54,the valley,-63.0578,18.217,84.34,70,40,12.66,scattered clouds
55,hermanus,19.2345,-34.4187,51.91,73,54,9.55,broken clouds
56,dvinskoy,45.1175,62.1535,42.85,83,100,2.89,overcast clouds
57,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
58,alta floresta,-56.0861,-9.8756,76.37,75,98,4.7,moderate rain
59,pithoragarh,80.2167,29.5833,56.89,95,2,2.53,clear sky
60,maloy,5.1136,61.9353,54.0,72,76,10.0,light rain
61,melito di porto salvo,15.7714,37.9222,72.32,77,11,6.91,few clouds
62,saskylakh,114.0833,71.9167,17.29,92,99,11.92,overcast clouds
63,luderitz,15.1594,-26.6481,57.11,58,80,19.77,broken clouds
64,victoria,114.1577,22.2855,84.33,80,78,5.01,broken clouds
65,hilo,-155.09,19.7297,83.93,69,20,9.22,few clouds
66,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
67,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light intensity drizzle
68,lompoc,-120.4579,34.6391,93.34,58,1,10.36,clear sky
69,paamiut,-49.6678,61.994,38.62,74,4,6.13,clear sky
70,hobart,147.3294,-42.8794,61.02,84,75,4.61,broken clouds
71,derzhavinsk,66.3167,51.1,35.08,76,65,13.24,broken clouds
72,waipawa,175.5153,-41.4122,55.45,86,99,4.9,overcast clouds
73,chicama,-79.1469,-7.8447,61.34,74,53,9.17,broken clouds
74,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
75,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
76,yellowknife,-114.3525,62.456,53.42,57,2,10.0,clear sky
77,khandyga,135.6,62.6667,28.63,82,8,3.22,clear sky
78,mayo,-76.5119,38.8876,79.86,87,1,1.01,clear sky
79,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
80,hermanus,19.2345,-34.4187,51.91,73,54,9.55,broken clouds
81,constitucion,-72.4167,-35.3333,53.4,73,0,16.24,clear sky
82,bengkulu,102.2655,-3.8004,74.17,91,97,3.62,moderate rain
83,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
84,qaanaaq,-69.3632,77.484,28.09,96,100,6.4,overcast clouds
85,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
86,tabou,-7.3528,4.423,77.83,89,68,6.38,broken clouds
87,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
88,port alfred,26.891,-33.5906,54.88,78,24,8.3,light rain
89,bethel,-73.414,41.3712,70.75,82,90,0.0,overcast clouds
90,tromso,18.957,69.6496,57.85,66,75,16.11,light rain
91,georgetown,100.3354,5.4112,79.9,90,20,0.0,few clouds
92,kapaa,-159.319,22.0752,78.19,79,90,4.0,light rain
93,bereda,-7.5406,43.2686,53.91,100,66,2.91,broken clouds
94,broome,-75.833,42.2506,66.02,80,90,1.99,mist
95,kaitangata,169.8464,-46.2817,50.94,85,100,15.5,overcast clouds
96,ribeira grande,-28.7,38.5167,71.71,90,32,6.85,scattered clouds
97,sitka,-135.33,57.0531,46.29,71,75,6.91,light rain
98,prince rupert,-130.3201,54.3161,46.09,78,100,8.14,light rain
99,mataura,168.8643,-46.1927,49.48,80,100,8.95,overcast clouds
100,rikitea,-134.9692,-23.1203,73.63,64,83,16.62,broken clouds
101,lanzhou,103.7922,36.0564,45.1,89,100,1.95,overcast clouds
102,cidreira,-50.2056,-30.1811,63.41,92,100,15.75,overcast clouds
103,avarua,-159.775,-21.2078,77.05,69,75,10.36,broken clouds
104,bluff,168.3333,-46.6,49.8,81,100,24.67,overcast clouds
105,punta arenas,-70.9167,-53.15,41.11,70,40,35.68,scattered clouds
106,guerrero negro,-114.0611,27.9769,84.33,44,85,12.44,overcast clouds
107,castro,-50.0119,-24.7911,62.2,99,100,4.38,light rain
108,ushuaia,-68.3,-54.8,38.86,70,75,14.97,light intensity drizzle
109,barrow,-156.7887,71.2906,30.22,80,90,9.22,overcast clouds
110,souillac,57.5167,-20.5167,72.36,84,16,11.83,few clouds
111,the valley,-63.0578,18.217,84.34,70,40,12.66,scattered clouds
112,iqaluit,-68.5145,63.7506,36.7,74,62,7.61,broken clouds
113,balykshi,51.8667,47.0667,39.2,52,0,11.18,clear sky
114,obo,26.4869,5.3998,66.36,94,31,2.13,scattered clouds
115,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
116,kapaa,-159.319,22.0752,78.19,79,90,4.0,light rain
117,bantry,-9.45,51.6833,47.68,84,78,9.71,light rain
118,ponta delgada,-25.6667,37.7333,73.51,94,75,4.61,broken clouds
119,mareeba,145.4333,-17.0,84.33,69,10,2.73,clear sky
120,atuona,-139.0333,-9.8,77.7,76,12,16.44,light rain
121,mataura,168.8643,-46.1927,49.48,80,100,8.95,overcast clouds
122,kirakira,161.9205,-10.4544,82.81,78,37,4.0,scattered clouds
123,cape town,18.4232,-33.9258,55.11,66,2,17.43,clear sky
124,albany,-73.9662,42.6001,62.67,93,100,1.21,overcast clouds
125,kapaa,-159.319,22.0752,78.19,79,90,4.0,light rain
126,klaksvik,-6.589,62.2266,49.12,87,96,29.91,overcast clouds
127,bambous virieux,57.7575,-20.3428,72.21,81,31,14.38,light rain
128,cape town,18.4232,-33.9258,55.11,66,2,17.43,clear sky
129,hermanus,19.2345,-34.4187,51.91,73,54,9.55,broken clouds
130,sobolevo,31.8996,54.4299,43.84,82,100,5.86,moderate rain
131,busselton,115.3333,-33.65,55.06,71,97,9.35,overcast clouds
132,mataura,168.8643,-46.1927,49.48,80,100,8.95,overcast clouds
